VideoID,Title,Channel,PublishDate,URL,Views,Likes,Comments,Duration_sec
82Wn6UZVgik,Kufri | কুফরি | Iftekhar Ifti | Tasnova Nijhum | Megh heem | New Bangla Natok 2025,Doyel Studio,2025-12-05T09:00:11Z,https://youtube.com/watch?v=82Wn6UZVgik,2796584,22884,2562,2179.0
BLn0zP6Pssw,চাকর । Chakor । Zaher Alvi । Jannatul Ferdous Snigdha । Full Drama । Bangla New Natok 2026,Golden Eagle,2026-01-02T09:00:14Z,https://youtube.com/watch?v=BLn0zP6Pssw,2141358,20078,248,2172.0
AJGXfHjUEDg,হবু বউয়ের মাথা গরম | Hobu Bouer Matha Gorom | Niloy Alamgir | Heme | Bangla New Natok 2025,Niloy Alamgir,2025-12-24T09:00:17Z,https://youtube.com/watch?v=AJGXfHjUEDg,1347035,5112,127,2488.0
f2OzCNJGc5w,কিশোরী ডিভোর্স | Kishori Divorce | Sabuj Ahmed | Diasha | New Bangla Natok 2026,Raad multimedia,2026-02-06T08:15:03Z,https://youtube.com/watch?v=f2OzCNJGc5w,126302,1216,109,2692.0
EtZgrpJsXeU,জামাই যখন হঠাৎ বিদেশ থেকে আসে | Jannatul Heme | Mosharraf Karim | New Bangla Natok 2025 #natok,Jannatul_Heme,2025-06-13T15:23:16Z,https://youtube.com/watch?v=EtZgrpJsXeU,8559941,61899,109,15.0
4AnFIy82NhQ,অশিক্ষিত ছেলে | Oshikkhito Chele | Full Natok | Tonmoy Sohel & Mim Chowdhury | Bangla Natok 2026,Bluebell Drama,2026-01-16T09:00:41Z,https://youtube.com/watch?v=4AnFIy82NhQ,2000574,16339,456,2872.0
QnxwNvd-wGQ,সিলেটি ফুরি | Sylheti Furi | Full Drama | Niloy Alamgir | Samira Khan Mahi | Bangla New Natok 2025,Niloy Alamgir,2025-12-25T09:00:48Z,https://youtube.com/watch?v=QnxwNvd-wGQ,3976137,14988,420,3563.0
Xh-o_7n-tis,New Bangla Natok - Baji | বাজি | Full Natok | Rafsun Shanto | Maya Rahman | New Bangla Natok 2026,Jago Bangla Drama,2026-01-23T09:01:00Z,https://youtube.com/watch?v=Xh-o_7n-tis,846579,7746,109,2728.0
MYaREbZGHgY,বড়োলোকের গরিব পোলা | Boroloker Gorib Pola | Full Drama | Niloy Alamgir | Heme | Bangla Natok 2025,Niloy Alamgir,2025-12-20T10:00:40Z,https://youtube.com/watch?v=MYaREbZGHgY,2336865,12413,269,2702.0
Bj0bneCCUnE,Je Kotha Hoyni Bola | যে কথা হয়নি বলা | Trailer | Jovan | Niha |Jakaria Showkhin |Bangla Natok 2026,CMV Entertainment,2026-02-13T13:01:52Z,https://youtube.com/watch?v=Bj0bneCCUnE,147516,3579,133,152.0
u3ZFSpTMtNI,গরিবের উপর অত্যাচার | Goriber Upor Ottachar | Full Natok | Niloy Alamgir | Heme | Bangla Natok 2025,Niloy Alamgir,2025-12-29T09:01:23Z,https://youtube.com/watch?v=u3ZFSpTMtNI,2697055,11459,415,2407.0
